econiso,auto,bond10yr,bond20yr,bond30yr,cabgdp1,cabgdp2,cpi,cpi1,cpi3,cpir,employ,employt1,employt2,fedfunds,gdp,gdpn1,gdpn2,gdpr1,gdpr2,house,ip1,ip3,ipgr,ippi,libor1m,libor2m,libor3m,ltgdr,m1,m2,mbroad1,mbroad3,note10yr,note2yr,note3yr,note5yr,note7yr,popt,ppi,prime,rawmat,rtlsales,stgdr,tbill12m,tbill3m,tbill6m,txcr,unemp,unemp1,unemp2,wpi1,wpi3,wpir,datadate
USA,395.715,,3.8,4.12,-2.8707,-2.629,2.1959,92.0146,92.6533,1.6366,130750.0,139.0772,139.1547,0.2,15.7506,15048.97,15309.471,15648.991,15807.995,0.545,90.8609,91.8973,5.5323,,0.2542,0.27,0.2871,2.7237,1828.4,8757.7,8773.7333,8731.1,2.81,0.45,0.72,1.47,2.16,309.79,182.4,3.25,,327.635,0.143,0.26,0.17,0.21,11.4464,9.8,9.6228,9.5243,97.0415,99.3958,6.8318,2010-11-30
USA,509.615,,4.13,4.34,-2.8707,-2.629,2.2047,92.0146,93.0255,1.6366,130822.0,139.0772,139.1547,0.13,15.7506,15048.97,15309.471,15648.991,15807.995,0.539,90.8609,92.7866,5.5323,,0.2618,0.282,0.3027,3.2134,1836.7,8789.7,8773.7333,8766.8,3.3,0.61,1.02,2.01,2.71,309.79,184.0,3.25,,329.741,0.1409,0.27,0.12,0.19,11.4464,9.3,9.6228,9.5243,97.0415,101.0477,6.8318,2010-12-31
USA,380.294,,4.33,4.58,-2.9187,-3.1068,2.2119,94.9035,93.3272,3.1397,130841.0,139.8852,139.4277,0.17,15.7128,15599.7318,15351.444,15891.534,15769.911,0.63,93.7249,92.5935,3.1521,,0.2606,0.2828,0.3034,3.3276,1846.3,8826.2,9611.6,8806.4,3.42,0.58,0.98,1.95,2.71,312.1354,185.4,3.25,,332.14,0.152,0.24,0.15,0.17,11.8079,9.1,8.943,9.0398,105.5814,102.0134,8.8003,2011-01-31
USA,482.998,,4.25,4.49,-2.9187,-3.1068,2.219,94.9035,93.6272,3.1397,131053.0,139.8852,139.4277,0.16,15.7128,15599.7318,15351.444,15891.534,15769.911,0.517,93.7249,92.2224,3.1521,,0.2629,0.2873,0.3119,3.5043,1870.1,8871.6,9611.6,8855.0,3.42,0.69,1.18,2.13,2.82,312.1354,187.4,3.25,,334.674,0.1321,0.24,0.15,0.18,11.8079,9.0,8.943,9.0398,105.5814,103.5177,8.8003,2011-02-28
USA,648.485,,4.29,4.51,-2.9187,-3.1068,2.2305,94.9035,94.1115,3.1397,131288.0,139.8852,139.4277,0.1,15.7128,15599.7318,15351.444,15891.534,15769.911,0.6,93.7249,93.1871,3.1521,,0.2533,0.2829,0.3084,3.3643,1896.5,8916.0,9611.6,8902.8,3.47,0.8,1.29,2.24,2.9,312.1354,188.8,3.25,,337.935,0.1004,0.26,0.09,0.17,11.8079,9.0,8.943,9.0398,105.5814,104.6885,8.8003,2011-03-31
USA,595.951,,4.15,4.4,-2.9187,-3.0708,2.2409,94.9035,94.5533,3.1397,131602.0,139.8852,139.5313,0.09,15.8251,15599.7318,15557.535,15891.534,15876.839,0.554,93.7249,92.8644,3.1521,,0.2214,0.2519,0.2814,3.4034,1897.0,8978.2,9611.6,8967.7,3.32,0.61,1.01,1.97,2.66,312.1354,190.5,3.25,,340.149,0.0585,0.19,0.04,0.11,11.8079,9.1,8.943,9.074,105.5814,106.0073,8.8003,2011-04-30
USA,534.594,,3.91,4.22,-2.9187,-3.0708,2.2481,94.9035,94.8542,3.1397,131703.0,139.8852,139.5313,0.1,15.8251,15599.7318,15557.535,15891.534,15876.839,0.561,93.7249,92.9985,3.1521,,0.1978,0.2308,0.2607,3.1285,1941.6,9029.5,9611.6,9016.7,3.05,0.45,0.79,1.68,2.37,312.1354,191.5,3.25,,339.232,0.041,0.16,0.06,0.12,11.8079,9.0,8.943,9.074,105.5814,106.2567,8.8003,2011-05-31
USA,513.903,,4.09,4.38,-2.9187,-3.0708,2.2481,94.9035,94.8542,3.1397,131939.0,139.8852,139.5313,0.07,15.8251,15599.7318,15557.535,15891.534,15876.839,0.608,93.7249,93.2464,3.1521,,0.1872,0.2192,0.2478,2.941,1963.4,9113.7,9611.6,9095.7,3.18,0.45,0.81,1.76,2.5,312.1354,190.8,3.25,,341.657,0.0373,0.19,0.03,0.1,11.8079,9.1,8.943,9.074,105.5814,106.2743,8.8003,2011-06-30
USA,497.416,,3.77,4.12,-2.9187,-2.7317,2.254,94.9035,95.1027,3.1397,131999.0,139.8852,139.883,0.11,15.8207,15599.7318,15647.681,15891.534,15870.684,0.623,93.7249,93.7192,3.1521,,0.1866,0.2182,0.2499,2.9453,1996.0,9301.6,9611.6,9277.6,2.82,0.36,0.55,1.35,2.09,312.1354,191.6,3.25,,341.274,0.0375,0.2,0.1,0.16,11.8079,9.0,8.943,9.0052,105.5814,106.5552,8.8003,2011-07-31
USA,497.583,,3.19,3.6,-2.9187,-2.7317,2.2611,94.9035,95.4027,3.1397,132125.0,139.8852,139.883,0.08,15.8207,15599.7318,15647.681,15891.534,15870.684,0.585,93.7249,94.3258,3.1521,,0.2116,0.249,0.2945,2.2652,2115.4,9515.3,9611.6,9485.5,2.23,0.2,0.33,0.96,1.56,312.1354,191.1,3.25,,342.228,0.0243,0.1,0.02,0.05,11.8079,9.0,8.943,9.0052,105.5814,105.9724,8.8003,2011-08-31
USA,474.983,,2.66,2.9,-2.9187,-2.7317,2.266,94.9035,95.6098,3.1397,132358.0,139.8852,139.883,0.06,15.8207,15599.7318,15647.681,15891.534,15870.684,0.65,93.7249,94.2731,3.1521,,0.2309,0.2846,0.3502,1.9631,2120.0,9539.9,9611.6,9503.1,1.92,0.25,0.42,0.96,1.43,312.1354,192.8,3.25,,345.696,0.0138,0.12,0.02,0.06,11.8079,9.0,8.943,9.0052,105.5814,106.6548,8.8003,2011-09-30
USA,470.141,,2.89,3.16,-2.9187,-2.7716,2.2675,94.9035,95.6744,3.1397,132562.0,139.8852,140.6987,0.09,16.0041,15599.7318,15842.267,15891.534,16048.702,0.61,93.7249,94.9235,3.1521,,0.2437,0.3185,0.4065,2.1056,2128.5,9571.5,9611.6,9536.0,2.17,0.25,0.41,0.99,1.58,312.1354,192.4,3.25,,347.717,0.019,0.11,0.01,0.06,11.8079,8.8,8.943,8.6538,105.5814,106.0744,8.8003,2011-10-31
USA,455.258,,2.77,3.06,-2.9187,-2.7716,2.2717,94.9035,95.8512,3.1397,132694.0,139.8852,140.6987,0.1,16.0041,15599.7318,15842.267,15891.534,16048.702,0.711,93.7249,94.9398,3.1521,,0.2536,0.3594,0.4753,1.98,2182.0,9612.5,9611.6,9586.6,2.08,0.25,0.41,0.96,1.53,312.1354,192.9,3.25,,349.352,0.014,0.11,0.01,0.06,11.8079,8.6,8.943,8.6538,105.5814,106.6801,8.8003,2011-11-30
USA,541.255,,2.57,2.89,-2.9187,-2.7716,2.2722,94.9035,95.874,3.1397,132896.0,139.8852,140.6987,0.04,16.0041,15599.7318,15842.267,15891.534,16048.702,0.694,93.7249,95.405,3.1521,,0.2836,0.4083,0.5557,1.9687,2165.7,9651.3,9611.6,9630.0,1.89,0.25,0.36,0.83,1.35,312.1354,192.7,3.25,,349.973,0.0114,0.11,0.02,0.06,11.8079,8.5,8.943,8.6538,105.5814,106.2816,8.8003,2011-12-31
USA,460.549,,2.59,2.94,-2.5728,-2.8356,2.2784,96.871,96.1352,2.0732,133246.0,142.4746,141.826,0.11,16179.968,16253.97,16068.824,16253.97,16179.968,0.723,96.5807,95.9904,3.047,,0.2829,0.4142,0.5659,1.9239,2209.2,9761.9,10354.8667,9712.5,1.83,0.22,0.3,0.71,1.24,314.4967,193.4,3.25,,352.736,0.0345,0.12,0.06,0.08,13.8749,8.3,8.0654,8.2628,106.1561,106.1837,0.5444,2012-01-31
USA,604.028,,2.73,3.08,-2.5728,-2.8356,2.2833,96.871,96.3406,2.0732,133518.0,142.4746,141.826,0.1,16179.968,16253.97,16068.824,16253.97,16179.968,0.704,96.5807,96.2861,3.047,,0.25,0.3687,0.5032,1.9302,2194.5,9787.0,10354.8667,9758.5,1.98,0.3,0.43,0.87,1.39,314.4967,193.9,3.25,,357.435,0.092,0.17,0.08,0.13,13.8749,8.3,8.0654,8.2628,106.1561,106.4007,0.5444,2012-02-29
USA,747.947,,3.0,3.35,-2.5728,-2.8356,2.2881,96.871,96.5423,2.0732,133744.0,142.4746,141.826,0.09,16179.968,16253.97,16068.824,16253.97,16179.968,0.695,96.5807,95.7844,3.047,,0.2419,0.3508,0.4733,2.1537,2246.0,9903.1,10354.8667,9806.3,2.23,0.33,0.51,1.04,1.61,314.4967,194.1,3.25,,358.712,0.0841,0.18,0.07,0.15,13.8749,8.2,8.0654,8.2628,106.1561,107.2836,0.5444,2012-03-31
USA,614.66,,2.73,3.12,-2.5728,-2.7149,2.2919,96.871,96.7027,2.0732,133827.0,142.4746,142.1653,0.16,16253.726,16253.97,16207.13,16253.97,16253.726,0.753,96.5807,96.4818,3.047,,0.2398,0.3478,0.4668,2.0339,2268.6,9948.9,10354.8667,9863.4,1.95,0.27,0.38,0.82,1.33,314.4967,194.0,3.25,,356.872,0.0838,0.19,0.1,0.15,13.8749,8.2,8.0654,8.1805,106.1561,106.3382,0.5444,2012-04-30
USA,677.297,,2.27,2.67,-2.5728,-2.7149,2.2871,96.871,96.5027,2.0732,133935.0,142.4746,142.1653,0.16,16253.726,16253.97,16207.13,16253.97,16253.726,0.708,96.5807,96.6841,3.047,,0.2389,0.3457,0.4665,1.7863,2248.4,9882.9,10354.8667,9891.5,1.59,0.27,0.35,0.67,1.03,314.4967,192.9,3.25,,356.054,0.0895,0.18,0.07,0.14,13.8749,8.2,8.0654,8.1805,106.1561,105.2685,0.5444,2012-05-31
USA,641.885,,2.38,2.76,-2.5728,-2.7149,2.2852,96.871,96.4229,2.0732,134007.0,142.4746,142.1653,0.09,16253.726,16253.97,16207.13,16253.97,16253.726,0.757,96.5807,96.6699,3.047,,0.2432,0.3459,0.4656,1.6081,2271.0,9960.8,10354.8667,9955.7,1.67,0.33,0.41,0.72,1.11,314.4967,192.1,3.25,,352.011,0.0914,0.21,0.09,0.16,13.8749,8.2,8.0654,8.1805,106.1561,104.2666,0.5444,2012-06-30
USA,567.436,,2.21,2.56,-2.5728,-2.4233,2.2859,96.871,96.4508,2.0732,134153.0,142.4746,142.5423,0.13,16282.151,16253.97,16319.54,16253.97,16282.151,0.74,96.5807,96.901,3.047,,0.2465,0.3403,0.4536,1.504,2314.6,10005.9,10354.8667,10022.7,1.51,0.23,0.3,0.6,0.98,314.4967,192.4,3.25,,353.974,0.0971,0.16,0.11,0.14,13.8749,8.2,8.0654,8.0117,106.1561,104.3058,0.5444,2012-07-31
USA,633.71,,2.29,2.68,-2.5728,-2.4233,2.2992,96.871,97.0111,2.0732,134330.0,142.4746,142.5423,0.13,16282.151,16253.97,16319.54,16253.97,16282.151,0.754,96.5807,96.4941,3.047,,0.2378,0.3331,0.4326,1.6661,2334.6,10069.0,10354.8667,10089.2,1.57,0.22,0.3,0.59,1.01,314.4967,194.7,3.25,,358.575,0.1026,0.16,0.09,0.14,13.8749,8.1,8.0654,8.0117,106.1561,105.8485,0.5444,2012-08-31
USA,585.217,,2.42,2.82,-2.5728,-2.4233,2.3102,96.871,97.474,2.0732,134512.0,142.4746,142.5423,0.09,16282.151,16253.97,16319.54,16253.97,16282.151,0.847,96.5807,96.4222,3.047,,0.2213,0.308,0.3856,1.6993,2358.0,10165.2,10354.8667,10164.2,1.65,0.23,0.31,0.62,1.04,314.4967,196.5,3.25,,361.37,0.1053,0.17,0.1,0.14,13.8749,7.8,8.0654,8.0117,106.1561,106.9328,0.5444,2012-09-30
USA,530.897,,2.46,2.85,-2.5728,-2.324,2.3164,96.871,97.7368,2.0732,134671.0,142.4746,143.3647,0.18,16300.035,16253.97,16420.386,16253.97,16300.035,0.915,96.5807,96.74,3.047,,0.2135,0.2717,0.3305,1.7206,2416.2,10245.8,10354.8667,10222.1,1.72,0.3,0.38,0.72,1.14,314.4967,196.7,3.25,,361.864,0.1048,0.17,0.11,0.16,13.8749,7.8,8.0654,7.808,106.1561,107.2064,0.5444,2012-10-31
USA,551.645,,2.37,2.81,-2.5728,-2.324,2.3125,96.871,97.5727,2.0732,134834.0,142.4746,143.3647,0.16,16300.035,16253.97,16420.386,16253.97,16300.035,0.833,96.5807,97.1345,3.047,,0.2089,0.2581,0.311,1.6441,2415.2,10343.0,10354.8667,10295.9,1.62,0.25,0.34,0.61,1.04,314.4967,195.7,3.25,,362.866,0.0935,0.17,0.08,0.13,13.8749,7.7,8.0654,7.808,106.1561,106.7863,0.5444,2012-11-30
USA,629.898,,2.54,2.95,-2.5728,-2.324,2.3122,96.871,97.5609,2.0732,135075.0,142.4746,143.3647,0.09,16300.035,16253.97,16420.386,16253.97,16300.035,0.976,96.5807,97.3797,3.047,,0.2109,0.2553,0.3095,1.7114,2509.7,10531.4,10354.8667,10426.0,1.78,0.25,0.36,0.72,1.18,314.4967,195.3,3.25,,364.443,0.07,0.15,0.05,0.11,13.8749,7.9,8.0654,7.808,106.1561,107.0525,0.5444,2012-12-31
USA,523.227,,2.79,3.17,-2.0157,-2.1871,2.3168,98.2912,97.7541,1.466,135265.0,143.9407,143.3233,0.15,16441.485,16843.1958,16629.05,16553.3475,16441.485,0.888,98.5051,97.3726,1.9925,,0.205,0.2498,0.3026,1.8841,2481.3,10506.6,10984.8333,10454.3,2.02,0.27,0.42,0.88,1.38,316.8409,196.4,3.25,,367.277,0.0743,0.14,0.07,0.12,14.3116,8.0,7.3726,7.7476,106.8035,107.1465,0.6098,2013-01-31
USA,604.217,,2.71,3.1,-2.0157,-2.1871,2.3294,98.2912,98.2849,1.466,135544.0,143.9407,143.3233,0.14,16441.485,16843.1958,16629.05,16553.3475,16441.485,0.962,98.5051,97.853,1.9925,,0.2013,0.2455,0.2905,1.968,2455.7,10480.0,10984.8333,10454.0,1.89,0.25,0.36,0.77,1.26,316.8409,197.6,3.25,,372.515,0.0989,0.16,0.11,0.13,14.3116,7.7,7.3726,7.7476,106.8035,107.7968,0.6098,2013-02-28
USA,739.747,,2.71,3.1,-2.0157,-2.1871,2.3228,98.2912,98.0086,1.466,135689.0,143.9407,143.3233,0.09,16441.485,16843.1958,16629.05,16553.3475,16441.485,1.01,98.5051,98.2654,1.9925,,0.2035,0.2419,0.2819,1.9436,2497.2,10626.9,10984.8333,10527.7,1.87,0.25,0.36,0.77,1.24,316.8409,196.5,3.25,,369.062,0.087,0.13,0.07,0.11,14.3116,7.5,7.3726,7.7476,106.8035,107.2671,0.6098,2013-03-31
USA,639.12,,2.49,2.88,-2.0157,-2.1357,2.318,98.2912,97.8039,1.466,135876.0,143.9407,143.8387,0.14,16464.402,16843.1958,16699.551,16553.3475,16464.402,0.835,98.5051,98.1568,1.9925,,0.1997,0.2401,0.2774,1.7343,2542.3,10655.8,10984.8333,10564.7,1.7,0.22,0.32,0.68,1.11,316.8409,195.3,3.25,,367.29,0.06,0.11,0.05,0.09,14.3116,7.6,7.3726,7.5347,106.8035,106.3966,0.6098,2013-04-30
USA,710.234,,2.95,3.3,-2.0157,-2.1357,2.3189,98.2912,97.8444,1.466,136091.0,143.9407,143.8387,0.09,16464.402,16843.1958,16699.551,16553.3475,16464.402,0.93,98.5051,98.2444,1.9925,,0.1966,0.234,0.2741,1.9199,2518.5,10578.7,10984.8333,10598.4,2.16,0.3,0.52,1.05,1.55,316.8409,196.1,3.25,,369.648,0.0441,0.14,0.04,0.07,14.3116,7.5,7.3726,7.5347,106.8035,106.5557,0.6098,2013-05-31
USA,687.169,,3.22,3.52,-2.0157,-2.1357,2.3245,98.2912,98.0773,1.466,136269.0,143.9407,143.8387,0.07,16464.402,16843.1958,16699.551,16553.3475,16464.402,0.839,98.5051,98.3792,1.9925,,0.1932,0.2316,0.2737,2.2917,2523.5,10643.3,10984.8333,10648.7,2.52,0.36,0.66,1.41,1.96,316.8409,196.2,3.25,,370.847,0.0505,0.15,0.04,0.1,14.3116,7.5,7.3726,7.5347,106.8035,106.5568,0.6098,2013-06-30
USA,638.081,,3.34,3.64,-2.0157,-2.0198,2.329,98.2912,98.2693,1.466,136391.0,143.9407,144.336,0.09,16594.743,16843.1958,16911.068,16553.3475,16594.743,0.88,98.5051,98.0808,1.9925,,0.1911,0.2324,0.2676,2.5618,2543.7,10682.3,10984.8333,10700.0,2.6,0.31,0.61,1.38,2.0,316.8409,196.0,3.25,,373.447,0.0355,0.11,0.04,0.08,14.3116,7.3,7.3726,7.2572,106.8035,106.5137,0.6098,2013-07-31
USA,734.027,,3.46,3.7,-2.0157,-2.0198,2.3346,98.2912,98.5039,1.466,136635.0,143.9407,144.336,0.07,16594.743,16843.1958,16911.068,16553.3475,16594.743,0.917,98.5051,98.6519,1.9925,,0.1841,0.2263,0.2633,2.7327,2537.4,10738.0,10984.8333,10754.4,2.78,0.39,0.79,1.62,2.24,316.8409,197.0,3.25,,372.419,0.0436,0.12,0.03,0.05,14.3116,7.2,7.3726,7.2572,106.8035,106.669,0.6098,2013-08-31
USA,549.312,,3.41,3.69,-2.0157,-2.0198,2.3354,98.2912,98.541,1.466,136819.0,143.9407,144.336,0.06,16594.743,16843.1958,16911.068,16553.3475,16594.743,0.85,98.5051,99.1755,1.9925,,0.1806,0.2213,0.2532,2.8032,2555.8,10805.9,10984.8333,10801.2,2.64,0.33,0.63,1.39,2.02,316.8409,196.5,3.25,,372.515,0.016,0.09,0.02,0.04,14.3116,7.2,7.3726,7.2572,106.8035,106.5703,0.6098,2013-09-30
USA,563.78,,3.33,3.63,-2.0157,-1.7286,2.3367,98.2912,98.5938,1.466,137039.0,143.9407,144.2647,0.07,16712.76,16843.1958,17133.114,16553.3475,16712.76,0.925,98.5051,99.0631,1.9925,,0.1724,0.2127,0.2418,2.604,2618.4,10933.0,10984.8333,10904.8,2.57,0.31,0.57,1.31,1.95,316.8409,196.9,3.25,,373.492,0.0473,0.09,0.04,0.08,14.3116,7.2,7.3726,6.95,106.8035,106.541,0.6098,2013-10-31
USA,584.775,,3.54,3.82,-2.0157,-1.7286,2.341,98.2912,98.7756,1.466,137314.0,143.9407,144.2647,0.07,16712.76,16843.1958,17133.114,16553.3475,16712.76,1.1,98.5051,99.3051,1.9925,,0.1673,0.2075,0.2382,2.7103,2607.2,10977.2,10984.8333,10928.3,2.75,0.28,0.56,1.37,2.1,316.8409,197.5,3.25,,373.94,0.0679,0.12,0.06,0.11,14.3116,6.9,7.3726,6.95,106.8035,106.3802,0.6098,2013-11-30
USA,612.645,,3.72,3.96,-2.0157,-1.7286,2.3472,98.2912,99.0368,1.466,137368.0,143.9407,144.2647,0.07,16712.76,16843.1958,17133.114,16553.3475,16712.76,1.002,98.5051,99.513,1.9925,,0.1672,0.2127,0.2442,2.8967,2715.7,11104.3,10984.8333,10993.9,3.04,0.38,0.78,1.75,2.45,316.8409,198.3,3.25,,376.621,0.0667,0.12,0.07,0.1,14.3116,6.7,7.3726,6.95,106.8035,107.248,0.6098,2013-12-31
USA,479.954,,3.35,3.61,-2.1085,-2.1212,2.3529,99.879,99.2769,1.6155,137552.0,146.3187,145.3107,0.07,16654.247,17550.6878,17144.281,16932.0518,16654.247,0.888,101.4448,99.1414,2.9844,,0.1601,0.2044,0.2386,2.8518,2701.7,11101.6,11616.5333,11046.9,2.67,0.34,0.69,1.49,2.13,319.3267,199.8,3.25,,373.327,0.0433,0.09,0.02,0.06,15.8823,6.6,6.158,6.6253,107.8043,107.8856,0.9371,2014-01-31
USA,562.538,,3.31,3.59,-2.1085,-2.1212,2.3555,99.879,99.3862,1.6155,137707.0,146.3187,145.3107,0.06,16654.247,17550.6878,17144.281,16932.0518,16654.247,0.944,101.4448,99.9007,2.9844,,0.1551,0.1966,0.2352,2.6974,2706.2,11153.4,11616.5333,11129.9,2.66,0.33,0.69,1.51,2.13,319.3267,200.2,3.25,,378.58,0.0526,0.11,0.05,0.08,15.8823,6.7,6.158,6.6253,107.8043,108.5777,0.9371,2014-02-28
USA,741.272,,3.31,3.56,-2.1085,-2.1212,2.3603,99.879,99.5891,1.6155,137986.0,146.3187,145.3107,0.06,16654.247,17550.6878,17144.281,16932.0518,16654.247,0.97,101.4448,100.8829,2.9844,,0.1549,0.1971,0.2341,2.7148,2773.3,11278.4,11616.5333,11173.9,2.73,0.44,0.9,1.73,2.3,319.3267,200.8,3.25,,382.404,0.0524,0.12,0.05,0.07,15.8823,6.7,6.158,6.6253,107.8043,109.0291,0.9371,2014-03-31
USA,656.715,,3.22,3.47,-2.1085,-1.9967,2.3647,99.879,99.7748,1.6155,138298.0,146.3187,145.913,0.09,16868.109,17550.6878,17462.703,16932.0518,16868.109,1.043,101.4448,100.9456,2.9844,,0.1517,0.1919,0.2273,2.6937,2809.6,11331.6,11616.5333,11230.6,2.67,0.42,0.87,1.69,2.25,319.3267,201.7,3.25,,386.507,0.031,0.11,0.03,0.05,15.8823,6.2,6.158,6.2175,107.8043,109.1109,0.9371,2014-04-30
USA,775.008,,3.05,3.33,-2.1085,-1.9967,2.3692,99.879,99.9647,1.6155,138501.0,146.3187,145.913,0.08,16868.109,17550.6878,17462.703,16932.0518,16868.109,1.007,101.4448,101.3514,2.9844,,0.1504,0.1914,0.2261,2.5502,2782.2,11274.8,11616.5333,11297.9,2.48,0.37,0.79,1.54,2.06,319.3267,201.0,3.25,,386.929,0.0324,0.1,0.04,0.06,15.8823,6.3,6.158,6.2175,107.8043,108.6487,0.9371,2014-05-31
USA,685.301,,3.08,3.34,-2.1085,-1.9967,2.3723,99.879,100.0967,1.6155,138833.0,146.3187,145.913,0.09,16868.109,17550.6878,17462.703,16932.0518,16868.109,0.911,101.4448,101.7006,2.9844,,0.1524,0.1938,0.2309,2.5902,2824.8,11336.8,11616.5333,11347.2,2.53,0.47,0.88,1.62,2.13,319.3267,201.5,3.25,,387.863,0.0357,0.11,0.04,0.07,15.8823,6.1,6.158,6.2175,107.8043,108.5097,0.9371,2014-06-30
